scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,max_contact_force,arm_force_fl_mean,arm_force_fr_mean,arm_force_rl_mean,arm_force_rr_mean,arm_force_fl_peak,arm_force_fr_peak,arm_force_rl_peak,arm_force_rr_peak,arm_force_peak_max,arm_force_imbalance,impact_weight_n,impact_total_force_limit_n,impact_arm_imbalance_limit_n,impact_arm_peak_limit_n,contact_metrics_available,final_state,landing_cmd_time,pred_decision,executed_action,action_source,probe_episode,probe_reason,gt_safe_to_land,decision_outcome,semantic_environment,semantic_drone_state,semantic_visual_state,semantic_landing_context,semantic_relation,semantic_integration,landing_feasibility,scenario_policy,target_case,launch_pid,launch_log,exception_message
11,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
12,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
13,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
14,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,unsafe_forced_land,-1,,Arrays have incompatible sizes for this operation.
15,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
16,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
17,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
18,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
19,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
20,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
21,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
22,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
23,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
24,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_forced_land,-1,,Arrays have incompatible sizes for this operation.
25,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
26,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
27,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
28,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
29,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
30,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
31,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
32,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
33,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
34,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,unsafe_forced_land,-1,,Arrays have incompatible sizes for this operation.
35,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
36,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
37,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,hard_negative,safe_land,-1,,Arrays have incompatible sizes for this operation.
38,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,boundary_validation,safe_land,-1,,Arrays have incompatible sizes for this operation.
39,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,unsafe_hover_timeout,-1,,Arrays have incompatible sizes for this operation.
40,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
41,unstable,0,runtime_exception,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,HoldLanding,HoldLanding,policy_abort,0,none,unstable,TN,unknown,unknown,unknown,unknown,unknown,unknown,NaN,exploit,safe_land,-1,,Arrays have incompatible sizes for this operation.
